FIPSCode,jurisdiction,households,median_household_income
15005,"Kalawao County, Hawaii",47,61875
15007,"Kauai County, Hawaii",22524,78482
15009,"Maui County, Hawaii",54274,77117
16001,"Ada County, Idaho",168741,63137
16003,"Adams County, Idaho",1675,45319
16005,"Bannock County, Idaho",30841,49739
16007,"Bear Lake County, Idaho",2350,54265
16009,"Benewah County, Idaho",3346,46507
16011,"Bingham County, Idaho",14772,51288
16013,"Blaine County, Idaho",8190,51968
16015,"Boise County, Idaho",3110,53942
16017,"Bonner County, Idaho",17584,48710
16019,"Bonneville County, Idaho",39000,56609
16021,"Boundary County, Idaho",4605,43507
16023,"Butte County, Idaho",1050,42250
16025,"Camas County, Idaho",357,38393
16027,"Canyon County, Idaho",70847,49143
16029,"Caribou County, Idaho",2618,59611
16031,"Cassia County, Idaho",7904,50918
16033,"Clark County, Idaho",305,35341
16035,"Clearwater County, Idaho",3707,42348
16037,"Custer County, Idaho",1761,39957
16039,"Elmore County, Idaho",10285,46715
16041,"Franklin County, Idaho",4294,56613
16043,"Fremont County, Idaho",4309,53311
16045,"Gem County, Idaho",6583,43001
16047,"Gooding County, Idaho",5419,48638
16049,"Idaho County, Idaho",6466,39113
16051,"Jefferson County, Idaho",8647,60162
16053,"Jerome County, Idaho",7828,49306
16055,"Kootenai County, Idaho",60497,54457
16057,"Latah County, Idaho",15530,45466
16059,"Lemhi County, Idaho",3549,37921
16061,"Lewis County, Idaho",1632,41326
16063,"Lincoln County, Idaho",1687,48222
16065,"Madison County, Idaho",10625,36031
16067,"Minidoka County, Idaho",7279,50663
16069,"Nez Perce County, Idaho",16302,54174
16071,"Oneida County, Idaho",1585,51058
16073,"Owyhee County, Idaho",4250,40430
16075,"Payette County, Idaho",8768,50289
16077,"Power County, Idaho",2581,49985
16079,"Shoshone County, Idaho",5540,39091
16081,"Teton County, Idaho",3736,68818
16083,"Twin Falls County, Idaho",30697,50778
16085,"Valley County, Idaho",3461,55299
16087,"Washington County, Idaho",4018,37206
17001,"Adams County, Illinois",27300,51398
17003,"Alexander County, Illinois",2323,34709
17005,"Bond County, Illinois",6218,58097
17007,"Boone County, Illinois",18731,66898
17009,"Brown County, Illinois",2087,58762
17011,"Bureau County, Illinois",13805,55940
17013,"Calhoun County, Illinois",1805,54392
17015,"Carroll County, Illinois",6476,51228
17017,"Cass County, Illinois",5024,51997
17019,"Champaign County, Illinois",82499,51692
17021,"Christian County, Illinois",13939,52415
17023,"Clark County, Illinois",6774,54158
17025,"Clay County, Illinois",5638,48691
17027,"Clinton County, Illinois",14190,65010
17029,"Coles County, Illinois",21139,44071
17031,"Cook County, Illinois",1963070,62088
17033,"Crawford County, Illinois",7653,49233
17035,"Cumberland County, Illinois",4322,53376
17037,"DeKalb County, Illinois",37703,61086
17039,"De Witt County, Illinois",6663,55591
17041,"Douglas County, Illinois",7618,54218
17043,"DuPage County, Illinois",341823,88711
