pr2,pr3,State,FIPSCode,population
0.9402390438247012,0.00423728813559322,WV,54029,23836
0.946236559139785,0,WV,54031,10892
0.9245960502692998,0,WV,54033,53843
0.966183574879227,0,WV,54035,22750
0.911504424778761,0.04611650485436893,WV,54037,41765
0.8913043478260869,0,WV,54039,149767
0.9424460431654677,0,WV,54041,12936
0.9158878504672897,0.05102040816326531,WV,54043,16639
0.8970588235294118,0.01639344262295082,WV,54045,27818
0.8942307692307693,0.010752688172043012,WV,54047,16201
0.9473684210526315,0.06613756613756613,WV,54049,45035
0.8975265017667845,0,WV,54051,25713
0.918918918918919,0.03676470588235294,WV,54053,21258
0.9118705035971223,0.005917159763313609,WV,54055,48546
0.9343434343434344,0,WV,54057,21839
0.8175675675675675,0.01652892561983471,WV,54059,19756
0.8283582089552238,0.06306306306306306,WV,54061,82710
0.8728813559322034,0,WV,54063,10756
0.9333333333333333,0,WV,54065,14016
0.8604651162790697,0,WV,54067,20519
0.9349736379613357,0,WV,54069,34609
0.9019607843137255,0,WV,54071,5967
0.9880952380952381,0,WV,54073,6143
0.9016393442622951,0,WV,54075,7072
0.9603960396039604,0.010309278350515464,WV,54077,27009
